fonctions;parametres;type retour
add_abonnement_gratuit_initial;p_id_structure integer, p_periode character varying DEFAULT 'WEEK'::character varying;json
add_abonnement_structure;p_id_structure integer, p_type_abonnement character varying, p_methode character varying, p_date_debut date DEFAULT CURRENT_DATE, p_ref_abonnement character varying DEFAULT NULL::character varying, p_numrecu character varying DEFAULT NULL::character varying, p_uuid_paiement uuid DEFAULT NULL::uuid, p_forcer_remplacement boolean DEFAULT false;json
add_acompte_facture;pid_structure integer, pid_facture integer, pmontant_acompte numeric, ptransactionid character varying DEFAULT ''::character varying, puuid character varying DEFAULT 'face2face'::character varying, pmode_paiement character varying DEFAULT 'CASH'::character varying, ptel_client character varying DEFAULT '771234567'::character varying;json
add_acompte_facture1;pid_structure integer, pid_facture integer, pmontant_acompte numeric, ptransactionid character varying DEFAULT ''::character varying, puuid character varying DEFAULT 'face2face'::character varying, pmode_paiement character varying DEFAULT 'CASH'::character varying, ptel_client character varying DEFAULT '771234567'::character varying;json
add_check_demande;plogin character varying, ptelephone character varying, ppassword_temp character varying;json
add_demande_password;plogin character varying, ptelephone character varying;json
add_droits_profils;pid_structure integer;void
add_edit_client;pid_structure integer, pnomclient character varying, ptelclient character varying, padresse character varying DEFAULT 'senegal'::character varying, pid_client integer DEFAULT 0;TABLE(result_id_client integer, result_nom_client character varying, result_tel_client character varying, result_adresse character varying, result_date_creation date, result_date_modification date, result_id_structure integer, result_action_effectuee character varying, result_factures_mises_a_jour integer)
add_edit_depense;pid_structure integer, pdate date, pid_type integer, pmontant numeric, pdescription character varying, pid_depense integer DEFAULT 0;TABLE(result_id_depense integer, result_id_structure integer, result_date_depense date, result_id_type_depense integer, result_nom_type_depense character varying, result_montant numeric, result_description character varying, result_tms_update timestamp without time zone, result_action_effectuee character varying)
add_edit_eleve;p_id_structure integer, p_nom_prenom character varying, p_telephone character varying, p_nom_classe character varying, p_photo_url character varying DEFAULT '/images/photos/logo-etudiant.png'::character varying, p_id_etudiant integer DEFAULT 0;TABLE(nid_etudiant integer, snom_classe character varying, stelephone character varying, snom_prenom character varying, sphoto_url character varying, bactif boolean, nid_structure integer)
add_edit_etab;p_id_etablissement integer, p_nometab character varying, p_adresse character varying, p_telmobile character varying, p_numautorisatioon character varying, p_nummarchand character varying, p_email character varying, p_actif boolean, p_logo text;void
add_edit_inscription;p_id_type integer, p_nom_structure character varying, p_adresse character varying, p_mobile_om character varying, p_mobile_wave character varying DEFAULT ''::character varying, p_numautorisatioon character varying DEFAULT ''::character varying, p_nummarchand character varying DEFAULT ''::character varying, p_email character varying DEFAULT ''::character varying, p_logo character varying DEFAULT ''::character varying, p_nom_service character varying DEFAULT 'SERVICES'::character varying, p_code_promo character varying DEFAULT 'FAYCLICK'::character varying, p_id_structure integer DEFAULT 0;character varying
add_edit_partenaire;p_nom character varying, p_telephone character varying, p_email character varying DEFAULT ''::character varying, p_adresse character varying DEFAULT 'Sénégal'::character varying, p_code_promo character varying DEFAULT NULL::character varying, p_commission_pct numeric DEFAULT 0, p_valide_jusqua date DEFAULT ((CURRENT_DATE + '1 year'::interval))::date, p_id_partenaire integer DEFAULT 0;json
add_edit_photo;p_id_structure integer, p_id_produit integer, p_url_photo character varying, p_id_photo integer DEFAULT NULL::integer;json
add_edit_produit;p_id_structure integer, p_nom_produit character varying, p_cout_revient numeric, p_prix_vente numeric, p_est_service boolean DEFAULT false, p_nom_categorie character varying DEFAULT 'produit_service'::character varying, p_description character varying DEFAULT 'RAS'::character varying, p_presente_au_public boolean DEFAULT false, p_id_produit integer DEFAULT 0, pcode_barre character varying DEFAULT ''::character varying;TABLE(result_id_produit integer, result_id_structure integer, result_nom_produit character varying, result_cout_revient numeric, result_prix_vente numeric, result_est_service boolean, result_nom_categorie character varying, result_description character varying, result_code_barre character varying, result_action_effectuee character varying)
add_edit_service;p_id_structure integer, p_nom_service character varying, p_prix_vente numeric, p_nom_categorie character varying DEFAULT 'service'::character varying, p_description character varying DEFAULT 'RAS'::character varying, p_presente_au_public boolean DEFAULT false, p_id_produit integer DEFAULT 0, pcode_barre character varying DEFAULT ''::character varying;TABLE(result_id_produit integer, result_id_structure integer, result_nom_service character varying, result_prix_vente numeric, result_nom_categorie character varying, result_description character varying, result_code_barre character varying, result_presente_au_public boolean, result_action_effectuee character varying)
add_edit_structure;p_id_type integer, p_nom_structure character varying, p_adresse character varying, p_mobile_om character varying, p_mobile_wave character varying DEFAULT ''::character varying, p_numautorisatioon character varying DEFAULT ''::character varying, p_nummarchand character varying DEFAULT ''::character varying, p_email character varying DEFAULT ''::character varying, p_logo character varying DEFAULT ''::character varying, p_id_structure integer DEFAULT 0;character varying
