|table_schema|table_name                    |table_type|
|------------|------------------------------|----------|
|public      |SequelizeMeta                 |BASE TABLE|
|public      |abonnements                   |BASE TABLE|
|public      |app_info                      |BASE TABLE|
|public      |auth_logs                     |BASE TABLE|
|public      |banque                        |BASE TABLE|
|public      |banque_structure              |BASE TABLE|
|public      |categorie                     |BASE TABLE|
|public      |client_facture                |BASE TABLE|
|public      |compte_structure              |BASE TABLE|
|public      |control_access                |BASE TABLE|
|public      |conventions                   |BASE TABLE|
|public      |demande_auth                  |BASE TABLE|
|public      |demande_caurix                |BASE TABLE|
|public      |demande_paiement              |BASE TABLE|
|public      |demande_password              |BASE TABLE|
|public      |depense                       |BASE TABLE|
|public      |detail_devis                  |BASE TABLE|
|public      |detail_facture_com            |BASE TABLE|
|public      |devis                         |BASE TABLE|
|public      |etat_facture                  |BASE TABLE|
|public      |etudiant                      |BASE TABLE|
|public      |facture                       |BASE TABLE|
|public      |facture_com                   |BASE TABLE|
|public      |fonctionnalite                |BASE TABLE|
|public      |frais_virement                |BASE TABLE|
|public      |grille_tarif                  |BASE TABLE|
|public      |groupe                        |BASE TABLE|
|public      |historique_paiement           |BASE TABLE|
|public      |history_users                 |BASE TABLE|
|public      |import_data                   |BASE TABLE|
|public      |journal_activite              |BASE TABLE|
|public      |journal_compte                |BASE TABLE|
|public      |logs_doublons_journal         |BASE TABLE|
|public      |modalite_frais                |BASE TABLE|
|public      |mouvement_stock               |BASE TABLE|
|public      |niveau_progression            |BASE TABLE|
|public      |notifications                 |BASE TABLE|
|public      |partenaires                   |BASE TABLE|
|public      |periodicite                   |BASE TABLE|
|public      |product_embeddings            |BASE TABLE|
|public      |produit_photos                |BASE TABLE|
|public      |produit_service               |BASE TABLE|
|public      |produit_unite                 |BASE TABLE|
|public      |profil                        |BASE TABLE|
|public      |profil_droits                 |BASE TABLE|
|public      |progression                   |BASE TABLE|
|public      |recus_paiement                |BASE TABLE|
|public      |structures                    |BASE TABLE|
|public      |temp_code                     |BASE TABLE|
|public      |transactions                  |BASE TABLE|
|public      |type_depense                  |BASE TABLE|
|public      |type_service                  |BASE TABLE|
|public      |type_structure                |BASE TABLE|
|public      |utilisateur                   |BASE TABLE|
|public      |versement                     |BASE TABLE|
|public      |journalisation_factures       |VIEW      |
|public      |list_banques                  |VIEW      |
|public      |list_detailventes             |VIEW      |
|public      |list_factures_com             |VIEW      |
|public      |list_factures_payees          |VIEW      |
|public      |list_journal_structures       |VIEW      |
|public      |list_produits                 |VIEW      |
|public      |list_solde_structure          |VIEW      |
|public      |list_structures               |VIEW      |
|public      |list_utilisateurs             |VIEW      |

